"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Baby Products","CAT510DE7E6",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1590069454383",NULL
"ACTIVE","Apparel & Accessories","CATE0890E60","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454513",NULL
"ACTIVE","Baby & Toddler Toys","CAT0B8C31F7","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454505",NULL
"ACTIVE","Baby Stationery","CAT2F4A4D25","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454508",NULL
"ACTIVE","Bathing & Skin Care","CATCA6F012F","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454493",NULL
"ACTIVE","Car Seats & Accessories","CAT3CA098CF","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454498",NULL
"ACTIVE","Diapering","CATF7BFC474","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454485",NULL
"ACTIVE","Feeding","CATA3BC41B4","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454493",NULL
"ACTIVE","Gear","CAT0E05E26D","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454477",NULL
"ACTIVE","Gifts","CATB9D15B1A","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454482",NULL
"ACTIVE","Health & Baby Care","CATA29A1BC4","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454469",NULL
"ACTIVE","Nursery","CAT1D6A6B66","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454472",NULL
"ACTIVE","Potty Training","CAT47513190","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454476",NULL
"ACTIVE","Pregnancy & Maternity","CATD5025D0C","CAT510DE7E6",NULL,NULL
"ACTIVE","Safety","CATC5F6E498","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454384",NULL
"ACTIVE","Strollers & Accessories","CAT0A7C1A51","CAT510DE7E6","https://rekognition-vision-images.s3.amazonaws.com/1590069454462",NULL
"ACTIVE","Baby Boys","CAT78D585DC","CATE0890E60",NULL,NULL
"ACTIVE","Baby Girls","CAT4E1885F4","CATE0890E60",NULL,NULL
"ACTIVE","Activity Play Centers","CATCB480EA4","CAT0B8C31F7",NULL,NULL
"ACTIVE","Balls","CATE31719B9","CAT0B8C31F7",NULL,NULL
"ACTIVE","Bath Toys","CAT78B259DE","CAT0B8C31F7",NULL,NULL
"ACTIVE","Blocks","CATC8A13918","CAT0B8C31F7",NULL,NULL
