"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Computers & Accessories","CAT78432443",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1592299937241",NULL
"ACTIVE","Computer Components","CAT4CA48E92","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937482",NULL
"ACTIVE","Computers & Tablets","CAT48295A43","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937493",NULL
"ACTIVE","Data Storage","CATFD384893","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937485",NULL
"ACTIVE","External Components","CATD595E6D6","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937459",NULL
"ACTIVE","Laptop Accessories","CAT07628505","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937465",NULL
"ACTIVE","Monitors","CATF6BCEA03","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937257",NULL
"ACTIVE","Networking Products","CAT2BAFBDCD","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937465",NULL
"ACTIVE","Printers","CATB34717F1","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937447",NULL
"ACTIVE","Scanners","CAT98C95E0A","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937458",NULL
"ACTIVE","Servers","CAT241BF54A","CAT78432443","https://rekognition-vision-images.s3.amazonaws.com/1592299937433",NULL
"ACTIVE","Software","CAT0367D655","CAT78432443",NULL,NULL
"ACTIVE","Accessories","CAT354BD9DC","CAT78432443",NULL,NULL
"ACTIVE","Computer Cases","CAT803F2A64","CAT4CA48E92",NULL,NULL
"ACTIVE","CPU Processors","CAT4630E672","CAT4CA48E92",NULL,NULL
"ACTIVE","Desktop Barebones","CAT4628AF8F","CAT4CA48E92",NULL,NULL
"ACTIVE","External Optical Drives","CAT1D43BB89","CAT4CA48E92",NULL,NULL
"ACTIVE","External Sound Cards","CAT8DE3E180","CAT4CA48E92",NULL,NULL
"ACTIVE","External TV Tuners","CAT385185C4","CAT4CA48E92",NULL,NULL
"ACTIVE","Fans & Cooling","CAT9AEE6173","CAT4CA48E92",NULL,NULL
"ACTIVE","Graphics Cards","CAT7B0C7E10","CAT4CA48E92",NULL,NULL
"ACTIVE","I/O Port Cards","CAT8E56A6CD","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Hard Drives","CATB887D4C6","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Memory Card Readers","CATB86B3840","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Modems","CAT6DC98E2F","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Optical Drives","CATA6E68504","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Solid State Drives","CAT6147BBAB","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal Sound Cards","CAT4A5E62FB","CAT4CA48E92",NULL,NULL
"ACTIVE","Internal TV Tuner & Capture Cards","CAT4A464409","CAT4CA48E92",NULL,NULL
"ACTIVE","KVM Switches","CAT35791D6B","CAT4CA48E92",NULL,NULL
"ACTIVE","Laptop Replacement Parts","CAT62798747","CAT4CA48E92",NULL,NULL
