"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Electronics","CAT53194A23",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1592318657713",NULL
"ACTIVE","Televisions & Video","CAT51FD4EED","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657720",NULL
"ACTIVE","Cameras","CAT744BBB4D","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657941",NULL
"ACTIVE","Audio","CATDCAC3A74","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657913",NULL
"ACTIVE","Musical Instruments","CAT346D3426","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657793",NULL
"ACTIVE","Accessories & Supplies","CATCE6FBA20","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657942",NULL
"ACTIVE","Headphones","CAT8339A76E","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657820",NULL
"ACTIVE","Portable Audio & Video","CAT12975429","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657780",NULL
"ACTIVE","Security & Surveillance","CAT48EC2722","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657770",NULL
"ACTIVE","Wearable Technology","CAT6FE58219","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657769",NULL
"ACTIVE","Radios & Transceivers","CATCF13DDD4","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657946",NULL
"ACTIVE","GPS & Navigation","CAT05571F66","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657820",NULL
"ACTIVE","Office Electronic Equipment","CAT876075D9","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657811",NULL
"ACTIVE","Power Supply","CAT876DA0C0","CAT53194A23","https://rekognition-vision-images.s3.amazonaws.com/1592318657781",NULL
"ACTIVE","Video Projectors & Accessories","CAT52B2330C","CAT53194A23",NULL,NULL
"ACTIVE","Streaming Media Players","CATAFF8BAA7","CAT51FD4EED",NULL,NULL
"ACTIVE","Televisions","CATA8B6B907","CAT51FD4EED",NULL,NULL
"ACTIVE","DVD-VCR Combos","CATB4C753CF","CAT51FD4EED",NULL,NULL
"ACTIVE","DVD Players & Recorders","CAT4810361D","CAT51FD4EED",NULL,NULL
"ACTIVE","Decoders & Receivers","CATF284F179","CAT51FD4EED",NULL,NULL
"ACTIVE","Blu-ray Players & Recorders","CAT288FCD06","CAT51FD4EED",NULL,NULL
"ACTIVE","Digital Photo Frames","CATD531BD57","CAT744BBB4D",NULL,NULL
"ACTIVE","Photo Printer","CAT1F563B1D","CAT744BBB4D",NULL,NULL
"ACTIVE","Digital Cameras","CAT80185748","CAT744BBB4D",NULL,NULL
"ACTIVE","Security & Surveillance Cameras","CATC8495F57","CAT744BBB4D",NULL,NULL
"ACTIVE","Tripods & Monopods","CATDF239C60","CAT744BBB4D",NULL,NULL
"ACTIVE","Flashes & Strobes","CAT43E98A54","CAT744BBB4D",NULL,NULL
"ACTIVE","Wearable Cameras & Action Cameras","CAT085B6DA8","CAT744BBB4D",NULL,NULL
"ACTIVE","Albums, Frames & Photo Organizers","CAT35A7FCFE","CAT744BBB4D",NULL,NULL
"ACTIVE","Video Cameras","CAT8C1966C4","CAT744BBB4D",NULL,NULL
"ACTIVE","Speakers","CAT9FDC9280","CATDCAC3A74",NULL,NULL
"ACTIVE","Home Theater Systems","CATFCE58398","CATDCAC3A74",NULL,NULL
"ACTIVE","Stereo System Components","CAT8BBAC699","CATDCAC3A74",NULL,NULL
"ACTIVE","Compact Radios & Stereos","CAT74A17975","CATDCAC3A74",NULL,NULL
"ACTIVE","Wireless & Streaming Audio","CAT49F2094A","CATDCAC3A74",NULL,NULL
"ACTIVE","Instrument Accessories","CATA81EC3A5","CAT346D3426",NULL,NULL
"ACTIVE","Live Sound & Stage","CATAE0238E0","CAT346D3426",NULL,NULL
"ACTIVE","Studio Recording Equipment","CAT9095D0D2","CAT346D3426",NULL,NULL
"ACTIVE","Microphones & Accessories","CATB830F554","CAT346D3426",NULL,NULL
"ACTIVE","Keyboards & MIDI","CAT6420DFC2","CAT346D3426",NULL,NULL
"ACTIVE","Band & Orchestra","CAT9E2EDB2B","CAT346D3426",NULL,NULL
"ACTIVE","Electronic Music, DJ & Karaoke","CAT3C91173A","CAT346D3426",NULL,NULL
"ACTIVE","Guitars","CATC7B82124","CAT346D3426",NULL,NULL
"ACTIVE","Amplifiers & Effects","CAT29210646","CAT346D3426",NULL,NULL
"ACTIVE","Bass Guitars","CAT53D900D4","CAT346D3426",NULL,NULL
"ACTIVE","Drums & Percussion","CAT5AE17B66","CAT346D3426",NULL,NULL
"ACTIVE","Stringed Instruments","CATA1C9C78D","CAT346D3426",NULL,NULL
"ACTIVE","Audio & Video Accessories","CAT656C28F1","CATCE6FBA20",NULL,NULL
"ACTIVE","Camera & Photo Accessories","CAT4979E9A3","CATCE6FBA20",NULL,NULL
"ACTIVE","Batteries, Chargers & Accessories","CATD123A69F","CATCE6FBA20",NULL,NULL
"ACTIVE","Power Protection","CAT6E1FB44C","CATCE6FBA20",NULL,NULL
"ACTIVE","GPS System Accessories","CATE02B8DFA","CATCE6FBA20",NULL,NULL
"ACTIVE","On-Ear Headphones","CATDB92CD71","CAT8339A76E",NULL,NULL
"ACTIVE","Earbud Headphones","CATF68F60DD","CAT8339A76E",NULL,NULL
"ACTIVE","Over-Ear Headphones","CAT127613F2","CAT8339A76E",NULL,NULL
"ACTIVE","Cassette Players & Recorders","CAT8CB56650","CAT12975429",NULL,NULL
"ACTIVE","CB & Two-Way Radios","CATC0478211","CAT12975429",NULL,NULL
"ACTIVE","Digital Voice Recorders","CATF7B0115F","CAT12975429",NULL,NULL
"ACTIVE","Microcassette Recorders","CAT35D4F0E6","CAT12975429",NULL,NULL
"ACTIVE","MiniDisc Players","CAT8AE8BEF5","CAT12975429",NULL,NULL
"ACTIVE","MP3 & MP4 Players","CATDD52BD59","CAT12975429",NULL,NULL
"ACTIVE","Portable Blu-ray Players","CATB4A744D7","CAT12975429",NULL,NULL
"ACTIVE","Portable CD Players","CAT8E6D3336","CAT12975429",NULL,NULL
"ACTIVE","Portable DVD Players","CAT0DA97DDE","CAT12975429",NULL,NULL
"ACTIVE","Portable Speakers & Docks","CAT957B4BB8","CAT12975429",NULL,NULL
"ACTIVE","Radios","CAT87EBC047","CAT12975429",NULL,NULL
"ACTIVE","Accessories","CATD14283B7","CAT48EC2722",NULL,NULL
"ACTIVE","Barking-Dog Alarms","CAT6FBD342B","CAT48EC2722",NULL,NULL
"ACTIVE","Biometrics","CAT46AC2DBE","CAT48EC2722",NULL,NULL
"ACTIVE","Home Security Systems","CAT634E5274","CAT48EC2722",NULL,NULL
"ACTIVE","Horns & Sirens","CAT29349C86","CAT48EC2722",NULL,NULL
"ACTIVE","Motion Detectors","CAT9417F80C","CAT48EC2722",NULL,NULL
"ACTIVE","Security Sensors","CATA51D9E59","CAT48EC2722",NULL,NULL
"ACTIVE","Surveillance Video Equipment","CATFAE37EE7","CAT48EC2722",NULL,NULL
"ACTIVE","Dome CCTV Cameras","CAT0DED75E8","CAT48EC2722",NULL,NULL
"ACTIVE","Standard Security Camerass","CAT1187D453","CAT48EC2722",NULL,NULL
"ACTIVE","Trail Cameras","CATC320A5DE","CAT48EC2722",NULL,NULL
"ACTIVE","Baby Wearables","CATA2C211B0","CAT6FE58219",NULL,NULL
"ACTIVE","Glasses","CAT193A7431","CAT6FE58219",NULL,NULL
"ACTIVE","Wearable Technology","CAT31B549A5","CAT699F084E","https://rekognition-vision-images.s3.amazonaws.com/1592318657769",NULL
"ACTIVE","Headphones","CATBA6E857A","CAT31B549A5","https://rekognition-vision-images.s3.amazonaws.com/1592318657820","wearable technology_headphones"
"ACTIVE","Pendants","CAT11AC6038","CAT6FE58219",NULL,NULL
"ACTIVE","Rings","CATA402D823","CAT6FE58219",NULL,NULL
"ACTIVE","Temporary Tattoos","CAT89F4D0BF","CAT6FE58219",NULL,NULL
