"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Home & Office","CATC2D233EA",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1592301488915",NULL
"ACTIVE","Appliances","CAT059249B0","CATC2D233EA","https://rekognition-vision-images.s3.amazonaws.com/1592301489024",NULL
"ACTIVE","Arts, Crafts & Sewing","CAT0B57E7E4","CATC2D233EA","https://rekognition-vision-images.s3.amazonaws.com/1592301489010",NULL
"ACTIVE","Home & Furniture","CATF3A2C6F5","CATC2D233EA","https://rekognition-vision-images.s3.amazonaws.com/1592301489017",NULL
"ACTIVE","Home & Kitchen","CAT9B511383","CATC2D233EA","https://rekognition-vision-images.s3.amazonaws.com/1592301489009",NULL
"ACTIVE","Tools & Home Improvement","CAT2AA4A0E3","CATC2D233EA","https://rekognition-vision-images.s3.amazonaws.com/1592301489000",NULL
"ACTIVE","Cooking Appliances","CAT81F7894C","CAT059249B0",NULL,NULL
"ACTIVE","Small Appliances","CAT0AC2BACB","CAT059249B0",NULL,NULL
"ACTIVE","Large Appliance","CAT883C238F","CAT059249B0",NULL,NULL
"ACTIVE","Art Set","CAT59F0F2A0","CAT0B57E7E4",NULL,NULL
"ACTIVE","Beading & Jewelry Making","CAT690F8A41","CAT0B57E7E4",NULL,NULL
"ACTIVE","Crafting","CAT5EB6F6D7","CAT0B57E7E4",NULL,NULL
"ACTIVE","Drawing Paper","CATD5DF0937","CAT0B57E7E4",NULL,NULL
"ACTIVE","Gift Wrapping Supplies","CAT3C214986","CAT0B57E7E4",NULL,NULL
"ACTIVE","Knitting & Crochet","CATADE692CF","CAT0B57E7E4",NULL,NULL
"ACTIVE","Needlework","CATA3E5F81C","CAT0B57E7E4",NULL,NULL
"ACTIVE","Organization, Storage & Transport","CAT07101116","CAT0B57E7E4",NULL,NULL
"ACTIVE","Painting, Drawing & Art Supplies","CAT0A62560F","CAT0B57E7E4",NULL,NULL
"ACTIVE","Party Decorations & Supplies","CATDAAA240A","CAT0B57E7E4",NULL,NULL
"ACTIVE","Printmaking","CAT8DA1B5C2","CAT0B57E7E4",NULL,NULL
"ACTIVE","Scrapbooking & Stamping","CATB629E252","CAT0B57E7E4",NULL,NULL
"ACTIVE","Sewing","CAT7C873471","CAT0B57E7E4",NULL,NULL
"ACTIVE","Furniture","CATA0CE4187","CATF3A2C6F5",NULL,NULL
"ACTIVE","Kitchen & Dining","CAT039755E3","CATF3A2C6F5",NULL,NULL
"ACTIVE","Lighting","CAT374863DD","CATF3A2C6F5",NULL,NULL
"ACTIVE","Stationery","CATF7BD4AF0","CATF3A2C6F5",NULL,NULL
"ACTIVE","Storage & Organization","CATCB21EDC4","CATF3A2C6F5",NULL,NULL
"ACTIVE","Bath","CATDF842627","CAT9B511383",NULL,NULL
"ACTIVE","Bedding","CAT50DDD99C","CAT9B511383",NULL,NULL
"ACTIVE","Cleaning Supplies","CAT0FD56C69","CAT9B511383",NULL,NULL
"ACTIVE","Event & Party Supplies","CATBA27C726","CAT9B511383",NULL,NULL
"ACTIVE","Heating, Cooling & Air Quality","CAT5D5D6F65","CAT9B511383",NULL,NULL
"ACTIVE","Home Decor","CAT6D5E6398","CAT9B511383",NULL,NULL
"ACTIVE","Home & Kitchen","CAT2D7C3207","CAT3C37E567","https://rekognition-vision-images.s3.amazonaws.com/1592301489009",NULL
"ACTIVE","Kitchen & Dining","CAT88B47C5D","CAT2D7C3207",NULL,"home & kitchen_kitchen & dining"
"ACTIVE","Lighting & Ceiling Fans","CAT61603196","CAT9B511383",NULL,NULL
"ACTIVE","Seasonal Décor","CAT3290D4AA","CAT9B511383",NULL,NULL
"ACTIVE","Home & Kitchen","CAT24078139","CATE3051358","https://rekognition-vision-images.s3.amazonaws.com/1592301489009",NULL
