status,categoryName,categoryId,parentId,image,Alias
ACTIVE,"Books, Movies and Music",CATD54A4CD5,NULL,https://rekognition-vision-images.s3.amazonaws.com/1590151344836,NULL
ACTIVE,Art & Humanities,CAT93E40A63,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344967,NULL
ACTIVE,Bestselling Books,CATF97C2D39,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344958,NULL
ACTIVE,Biography & Autobiography,CAT0574D483,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344961,NULL
ACTIVE,Business & Finance,CATEBE6EDA1,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344962,NULL
ACTIVE,DVDs,CATF36C6EEC,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344952,NULL
ACTIVE,Education & Learning,CAT6546B4EF,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344956,NULL
ACTIVE,Entertainment,CATD7F12C4F,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344943,NULL
ACTIVE,Family & Lifestyle,CAT2CA827F9,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344946,NULL
ACTIVE,Fiction,CATABDC2BD2,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344949,NULL
ACTIVE,Journals & Planners,CATFF4A1351,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344933,NULL
ACTIVE,Magazines,CAT751299DD,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344937,NULL
ACTIVE,Motivational & Self-Help,CAT45164FD5,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344926,NULL
ACTIVE,Religion,CAT644C125F,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344929,NULL
ACTIVE,Science & Technology,CAT563C0614,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344921,NULL
ACTIVE,Stationery,CAT6A75F32A,CATD54A4CD5,https://rekognition-vision-images.s3.amazonaws.com/1590151344844,NULL
ACTIVE,Foreign Language Study,CAT632C8968,CAT93E40A63,NULL,NULL
ACTIVE,Language Arts & Disciplines,CAT68640124,CAT93E40A63,NULL,NULL
ACTIVE,Literary Criticism,CAT23B23452,CAT93E40A63,NULL,NULL
ACTIVE,Performing Arts,CATA0200722,CAT93E40A63,NULL,NULL
ACTIVE,Philosophy,CAT3C0D56DD,CAT93E40A63,NULL,NULL
ACTIVE,Politics & History,CAT18E7BA95,CAT93E40A63,NULL,NULL
ACTIVE,Psychology,CATEB6B0130,CAT93E40A63,NULL,NULL
ACTIVE,Business & Economics,CATB2E54653,CATEBE6EDA1,NULL,NULL
ACTIVE,Action & Adventure,CATE0580B9C,CATF36C6EEC,NULL,NULL
ACTIVE,Animations & Cartoons,CATF04BE177,CATF36C6EEC,NULL,NULL
ACTIVE,Comedy,CATBF065E3B,CATF36C6EEC,NULL,NULL
ACTIVE,Documentary,CAT427EF8BE,CATF36C6EEC,NULL,NULL
ACTIVE,Drama,CAT99099AFB,CATF36C6EEC,NULL,NULL
ACTIVE,Exercise & Fitness,CATBC29B288,CATF36C6EEC,NULL,NULL
ACTIVE,Faith & Spirituality,CATE581A5F9,CATF36C6EEC,NULL,NULL
ACTIVE,Fantasy,CAT5BB3BA5D,CATF36C6EEC,NULL,NULL
ACTIVE,Foreign Films,CATFC984C4A,CATF36C6EEC,NULL,NULL
ACTIVE,Horror,CATC0FFF960,CATF36C6EEC,NULL,NULL
ACTIVE,Kids & Family,CATA233CA12,CATF36C6EEC,NULL,NULL
ACTIVE,Music Videos & Concerts,CAT875C689F,CATF36C6EEC,NULL,NULL
ACTIVE,Musicals,CAT2C510717,CATF36C6EEC,NULL,NULL
ACTIVE,Mystery & Thrillers,CATC6828BA3,CATF36C6EEC,NULL,NULL
ACTIVE,Nollywood DVDs,CATF10CACDE,CATF36C6EEC,NULL,NULL
ACTIVE,DVDs,CAT1EB625A1,CAT83367B53,https://rekognition-vision-images.s3.amazonaws.com/1590151344952,NULL
ACTIVE,Performing Arts,CATB6A085AB,CAT1EB625A1,NULL,dvds_performing arts
ACTIVE,Reality TV,CATB07CEE94,CATF36C6EEC,NULL,NULL
ACTIVE,Romance,CAT7344BB1A,CATF36C6EEC,NULL,NULL
