"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Commercial Equipment & Tools","CATA86A07AB",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1592301066716",NULL
"ACTIVE","Power Supply","CAT6430FEB5","CATA86A07AB","https://rekognition-vision-images.s3.amazonaws.com/1592301066864",NULL
"ACTIVE","Automobile","CAT5B328251","CATA86A07AB","https://rekognition-vision-images.s3.amazonaws.com/1592301066871",NULL
"ACTIVE","Garden & Outdoors","CATD567F6A4","CATA86A07AB","https://rekognition-vision-images.s3.amazonaws.com/1592301066755",NULL
"ACTIVE","Industrial & Scientific","CAT4A9494EE","CATA86A07AB","https://rekognition-vision-images.s3.amazonaws.com/1592301066857",NULL
"ACTIVE","Building Supplies","CATC21D4F29","CATA86A07AB",NULL,NULL
"ACTIVE","Solar & Wind Power","CAT2262F6FE","CAT6430FEB5",NULL,NULL
"ACTIVE","Generators","CATA6B6F7E9","CAT6430FEB5",NULL,NULL
"ACTIVE","Power Inverters","CAT1182615E","CAT6430FEB5",NULL,NULL
"ACTIVE","Generator Accessories","CATE89DE3C1","CAT6430FEB5",NULL,NULL
"ACTIVE","Rechargeable Power Supplies","CAT98D4B913","CAT6430FEB5",NULL,NULL
"ACTIVE","Generator Replacement","CAT267633C4","CAT6430FEB5",NULL,NULL
"ACTIVE","Car Care","CAT2474A342","CAT5B328251",NULL,NULL
"ACTIVE","Car Electronics & Accessories","CATD7B3B06A","CAT5B328251",NULL,NULL
"ACTIVE","Exterior Accessories","CAT29CE89F4","CAT5B328251",NULL,NULL
"ACTIVE","Interior Accessories","CATE15C4EBD","CAT5B328251",NULL,NULL
"ACTIVE","Lights & Lighting Accessories","CAT7D60B6FB","CAT5B328251",NULL,NULL
"ACTIVE","Motorcycle & Powersports","CATA6B4932A","CAT5B328251",NULL,NULL
"ACTIVE","Oils & Fluids","CAT32A49217","CAT5B328251",NULL,NULL
"ACTIVE","Paint & Paint Supplies","CAT02EF4E47","CAT5B328251",NULL,NULL
"ACTIVE","Power & Battery","CATA254C994","CAT5B328251",NULL,NULL
"ACTIVE","Replacement Parts","CAT3D732D2A","CAT5B328251",NULL,NULL
"ACTIVE","Tools & Equipment","CAT8EEB23D9","CAT5B328251",NULL,NULL
"ACTIVE","Tyre & Rim","CAT2CC35DEF","CAT5B328251",NULL,NULL
"ACTIVE","Farm & Ranch","CAT722A578B","CATD567F6A4",NULL,NULL
"ACTIVE","Gardening & Lawn Care","CATD1966E57","CATD567F6A4",NULL,NULL
"ACTIVE","Grills & Outdoor Cooking","CATDECD949C","CATD567F6A4",NULL,NULL
"ACTIVE","Outdoor Décor","CATA2F13819","CATD567F6A4",NULL,NULL
"ACTIVE","Outdoor Heating & Cooling","CATEA3FF805","CATD567F6A4",NULL,NULL
"ACTIVE","Outdoor Lighting","CATA1B0866C","CATD567F6A4",NULL,NULL
"ACTIVE","Outdoor Power Tools","CATC44FFD95","CATD567F6A4",NULL,NULL
"ACTIVE","Patio Furniture & Accessories","CATC50EE8D5","CATD567F6A4",NULL,NULL
"ACTIVE","Pools, Hot Tubs & Supplies","CAT65073D84","CATD567F6A4",NULL,NULL
"ACTIVE","Abrasive & Finishing Products","CATD2F450A3","CAT4A9494EE",NULL,NULL
"ACTIVE","Additive Manufacturing Products","CATAE9D959B","CAT4A9494EE",NULL,NULL
"ACTIVE","Commercial Door Products","CAT839E8FF0","CAT4A9494EE",NULL,NULL
"ACTIVE","Cutting Tools","CAT9C154F6B","CAT4A9494EE",NULL,NULL
"ACTIVE","Fasteners","CATC6A853E1","CAT4A9494EE",NULL,NULL
"ACTIVE","Filtration","CATC90A9D78","CAT4A9494EE",NULL,NULL
"ACTIVE","Food Service Equipment & Supplies","CATCA38320D","CAT4A9494EE",NULL,NULL
"ACTIVE","Hydraulics, Pneumatics & Plumbing","CAT7B435329","CAT4A9494EE",NULL,NULL
"ACTIVE","Industrial Electrical","CATD5C42B93","CAT4A9494EE",NULL,NULL
"ACTIVE","Industrial Hardware","CATE4A4ABF1","CAT4A9494EE",NULL,NULL
"ACTIVE","Industrial Power & Hand Tools","CAT85E411BE","CAT4A9494EE",NULL,NULL
"ACTIVE","Janitorial & Sanitation Supplies","CATE61A105E","CAT4A9494EE",NULL,NULL
"ACTIVE","Lab & Scientific Products","CAT79C7338C","CAT4A9494EE",NULL,NULL
"ACTIVE","Material Handling Products","CAT79E6F29B","CAT4A9494EE",NULL,NULL
"ACTIVE","Occupational Health & Safety Products","CATEB5B1FD6","CAT4A9494EE",NULL,NULL
"ACTIVE","Packaging & Shipping Supplies","CAT00D79961","CAT4A9494EE",NULL,NULL
"ACTIVE","Power Transmission Products","CAT3100B900","CAT4A9494EE",NULL,NULL
"ACTIVE","Professional Dental Supplies","CAT10054994","CAT4A9494EE",NULL,NULL
"ACTIVE","Professional Medical Supplies","CATEEE1B072","CAT4A9494EE",NULL,NULL
"ACTIVE","Raw Materials","CATFFCE6EA1","CAT4A9494EE",NULL,NULL
"ACTIVE","Retail Store Fixtures & Equipment","CATC269216F","CAT4A9494EE",NULL,NULL
"ACTIVE","Robotics","CATDC1EF9EF","CAT4A9494EE",NULL,NULL
"ACTIVE","Science Education","CAT4C0CF60B","CAT4A9494EE",NULL,NULL
"ACTIVE","Tapes, Adhesives & Sealants","CAT1CA11502","CAT4A9494EE",NULL,NULL
"ACTIVE","Test, Measure & Inspect","CAT2BBDCC97","CAT4A9494EE",NULL,NULL
"ACTIVE","Cleaning Kits","CAT6BBEC045","CAT2474A342",NULL,NULL
"ACTIVE","Exterior Care","CATEB19A08E","CAT2474A342",NULL,NULL
"ACTIVE","Glass Care","CATD7A73C8D","CAT2474A342",NULL,NULL
"ACTIVE","Interior Care","CAT5684B6E9","CAT2474A342",NULL,NULL
"ACTIVE","Tire & Wheel Care","CAT4FB9F371","CAT2474A342",NULL,NULL
"ACTIVE","Car Care","CAT9A0D399F","CAT66BEA0FA",NULL,NULL
"ACTIVE","Tools & Equipment","CATCC0AE5A8","CAT9A0D399F",NULL,"car care_tools & equipment"
"ACTIVE","Undercoatings","CAT0E6931A0","CAT2474A342",NULL,NULL
"ACTIVE","Car Electronics","CAT5705D45F","CATD7B3B06A",NULL,NULL
"ACTIVE","Car Electronics Accessories","CAT9680B50F","CATD7B3B06A",NULL,NULL
"ACTIVE","Cargo Management","CAT825C20F8","CAT29CE89F4",NULL,NULL
"ACTIVE","Covers","CAT52A3B0E2","CAT29CE89F4",NULL,NULL
"ACTIVE","Deflectors & Shields","CAT8C0DC53B","CAT29CE89F4",NULL,NULL
"ACTIVE","Emblems","CAT537545B7","CAT29CE89F4",NULL,NULL
"ACTIVE","Fender Flares & Trim","CATA1EC78BC","CAT29CE89F4",NULL,NULL
"ACTIVE","Gas Caps","CAT9F040C75","CAT29CE89F4",NULL,NULL
"ACTIVE","Gas Tank Doors","CATF637B4FE","CAT29CE89F4",NULL,NULL
"ACTIVE","Grilles & Grille Guards","CATB9D0B42A","CAT29CE89F4",NULL,NULL
"ACTIVE","Hood Scoops & Vents","CAT8036256E","CAT29CE89F4",NULL,NULL
"ACTIVE","Horns & Accessories","CATCDB2E89E","CAT29CE89F4",NULL,NULL
"ACTIVE","License Plate Covers & Frames","CAT2E4A9545","CAT29CE89F4",NULL,NULL
"ACTIVE","Mirrors","CAT11E1C145","CAT29CE89F4",NULL,NULL
"ACTIVE","Mud Flaps & Splash Guards","CAT68D6DE96","CAT29CE89F4",NULL,NULL
"ACTIVE","Roll Bars, Roll Cages & Covers","CAT60F81E00","CAT29CE89F4",NULL,NULL
"ACTIVE","Running Boards & Steps","CATE545C0A1","CAT29CE89F4",NULL,NULL
"ACTIVE","Safety","CATC3D2E5F8","CAT29CE89F4",NULL,NULL
"ACTIVE","Snow & Ice","CAT676DE4BA","CAT29CE89F4",NULL,NULL
"ACTIVE","Spare Tire Carriers","CATB40A5913","CAT29CE89F4",NULL,NULL
"ACTIVE","Spoilers, Wings & Styling Kits","CATA557C4B1","CAT29CE89F4",NULL,NULL
"ACTIVE","Towing Products & Winches","CAT7CCE8803","CAT29CE89F4",NULL,NULL
"ACTIVE","Trailer Accessories","CAT27AAEDA1","CAT29CE89F4",NULL,NULL
"ACTIVE","Truck Bed & Tailgate Accessories","CAT6B1658F7","CAT29CE89F4",NULL,NULL
