"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Drinks","CATECDA93B4",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1591786171377",NULL
"ACTIVE","Alcoholic","CAT9AEBC77C","CATECDA93B4","https://rekognition-vision-images.s3.amazonaws.com/1591786171734",NULL
"ACTIVE","Beverages","CAT78FFD2D4","CATECDA93B4","https://rekognition-vision-images.s3.amazonaws.com/1591786171738",NULL
"ACTIVE","Beer, Wine & Spirits","CATF9A0A776","CAT9AEBC77C",NULL,NULL
"ACTIVE","Bitter and Ale","CATF40548B6","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171728",NULL
"ACTIVE","Malt Drinks","CAT07498695","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171719",NULL
"ACTIVE","Non-Alcoholic","CATDC9C7DD4","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171449",NULL
"ACTIVE","Coffee, Tea & Cocoa","CAT4453E4F5","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171709",NULL
"ACTIVE","Juices & Other Non Carbonated Drinks","CATD65642C3","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171715",NULL
"ACTIVE","Syrups & Cordials","CATB12803D9","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171449",NULL
"ACTIVE","Water","CAT264A424F","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171677",NULL
"ACTIVE","Carbonated Drinks","CATAABF1F80","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171731",NULL
"ACTIVE","Milk","CATD11516BD","CAT78FFD2D4","https://rekognition-vision-images.s3.amazonaws.com/1591786171677",NULL
"ACTIVE","Ciders","CAT0845D968","CATF9A0A776",NULL,NULL
"ACTIVE","wines","CATF72EE396","CATF9A0A776",NULL,NULL
"ACTIVE","Sake","CATAB1F49FD","CATF9A0A776",NULL,NULL
"ACTIVE","Beers","CAT89B37705","CATF9A0A776",NULL,NULL
"ACTIVE","Champagne & Sparkling Wine","CATF3936C8B","CATF9A0A776",NULL,NULL
"ACTIVE","Spirits & Liquors","CAT248C8E2E","CATF9A0A776",NULL,NULL
"ACTIVE","Cocoa & Chocolate powder","CAT8793B034","CAT4453E4F5",NULL,NULL
"ACTIVE","Coffee","CAT3AD8FA7D","CAT4453E4F5",NULL,NULL
"ACTIVE","Roasted Coffee","CATB593B918","CAT4453E4F5",NULL,NULL
"ACTIVE","Instant Coffee","CAT85F54F35","CAT4453E4F5",NULL,NULL
"ACTIVE","Tea","CATA9A4E068","CAT4453E4F5",NULL,NULL
"ACTIVE","Iced Tea","CAT13E5548E","CATD65642C3",NULL,NULL
"ACTIVE","Cocktail Mixers","CATCCB8841E","CATD65642C3",NULL,NULL
"ACTIVE","Coconut Water","CAT5A2C8AFB","CATD65642C3",NULL,NULL
"ACTIVE","Others","CATA69C0807","CATD65642C3",NULL,NULL
"ACTIVE","Flavored Water","CATC1D020AA","CAT264A424F",NULL,NULL
"ACTIVE","Drinking Water","CATD199992E","CAT264A424F",NULL,NULL
"ACTIVE","Sparkling Water","CATF84322FE","CAT264A424F",NULL,NULL
"ACTIVE","Sports Drinking Water","CAT89D74295","CAT264A424F",NULL,NULL
"ACTIVE","Cola","CAT0DDDD183","CATAABF1F80",NULL,NULL
"ACTIVE","Other Soft Drinks","CAT1E63C1D9","CATAABF1F80",NULL,NULL
"ACTIVE","Sport & Energy Drinks","CATD7F92FD4","CATAABF1F80",NULL,NULL
"ACTIVE","Sparkling Juice","CAT10BDC365","CATAABF1F80",NULL,NULL
"ACTIVE","Long Life","CAT60FB29E6","CATD11516BD",NULL,NULL
"ACTIVE","Flavored Milk","CATCA3E9B0A","CATD11516BD",NULL,NULL
"ACTIVE","Powder Milk","CAT6B36E6D8","CATD11516BD",NULL,NULL
"ACTIVE","Condensed & Evaporated Milk","CAT578BCCA7","CATD11516BD",NULL,NULL
"ACTIVE","Yoghurt","CAT0F159F4E","CATD11516BD",NULL,NULL
"ACTIVE","Wine","CAT7983854F","CAT05852184",NULL,NULL
"ACTIVE","Pinot noir","CATC53DB1B1","CAT7983854F",NULL,NULL
"ACTIVE","Red Wine","CAT038F4E6F","CAT7983854F",NULL,NULL
"ACTIVE","Rose Wine","CAT6EE7A0F7","CAT7983854F",NULL,NULL
"ACTIVE","White Wine","CATD287DF8C","CAT7983854F",NULL,NULL
"ACTIVE","Shiraz","CAT4BD35DA3","CAT7983854F",NULL,NULL
"ACTIVE","Apertif","CAT5E4A9A63","CAT248C8E2E",NULL,NULL
"ACTIVE","Bourbon","CATD941250B","CAT248C8E2E",NULL,NULL
"ACTIVE","Cognac","CAT9733A763","CAT248C8E2E",NULL,NULL
"ACTIVE","Gin","CAT4CD3548E","CAT248C8E2E",NULL,NULL
"ACTIVE","Liqueur","CAT0A71A019","CAT248C8E2E",NULL,NULL
"ACTIVE","Rum","CAT1D5E0911","CAT248C8E2E",NULL,NULL
"ACTIVE","Tequila","CAT5F2B7631","CAT248C8E2E",NULL,NULL
"ACTIVE","Vodka","CAT6698121E","CAT248C8E2E",NULL,NULL
"ACTIVE","Whiskey","CAT8BEEAD7B","CAT248C8E2E",NULL,NULL
"ACTIVE","Bottled & Canned Coffee Drinks","CAT25F7CBB7","CAT3AD8FA7D",NULL,NULL
"ACTIVE","Single-Serve Capsules & Pods","CAT96D5D5C4","CAT3AD8FA7D",NULL,NULL
"ACTIVE","Coffee Creamer & Mixes","CATD25470E4","CAT3AD8FA7D",NULL,NULL
"ACTIVE","Black Tea Bag & Loose","CATB2A64004","CAT3AD8FA7D",NULL,NULL
"ACTIVE","Green Tea Bag & Loose","CAT5C7DDCCF","CATA9A4E068",NULL,NULL
"ACTIVE","Tea","CAT818BE771","CAT128F5CC5",NULL,NULL
"ACTIVE","Black Tea Bag & Loose","CAT0BFD9E24","CAT818BE771",NULL,NULL
"ACTIVE","Herbal and flavored","CAT620138A0","CATA9A4E068",NULL,NULL
