status,categoryName,categoryId,parentId,image,Alias
ACTIVE,Grocery,CAT7FDF9624,NULL,https://rekognition-vision-images.s3.amazonaws.com/1592301239424,NULL
ACTIVE,Bakery,CAT83F3F000,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239491,NULL
ACTIVE,Breakfast Food,CATF50077B0,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239483,NULL
ACTIVE,Candy & Chocolate,CATF0963984,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239476,NULL
ACTIVE,"Canned, Jarred & Packaged Foods",CAT8B91292F,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239476,NULL
ACTIVE,Salad Dressings,CAT57D8096A,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239429,NULL
ACTIVE,Cooking & Baking,CAT357ED966,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239517,NULL
ACTIVE,"Dairy, Cheese & Eggs",CAT6786FBA6,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239466,NULL
ACTIVE,Deli,CATE6FD79B3,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239465,NULL
ACTIVE,"Dried Beans, Grains & Rice",CATD18372E1,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239455,NULL
ACTIVE,Food & Beverage Gifts,CAT0074B714,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239511,NULL
ACTIVE,Food Cupboard,CAT29E3F309,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239451,NULL
ACTIVE,Condiments,CAT4A4A7C01,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239473,NULL
ACTIVE,Fresh Food,CAT03C38F70,CAT7FDF9624,https://rekognition-vision-images.s3.amazonaws.com/1592301239446,NULL
ACTIVE,Breadsticks,CATB6789090,CAT83F3F000,NULL,NULL
ACTIVE,Breakfast Bakery,CAT0F42F1D5,CAT83F3F000,NULL,NULL
ACTIVE,Cakes,CAT5366D379,CAT83F3F000,NULL,NULL
ACTIVE,Desserts,CAT02D24165,CAT83F3F000,NULL,NULL
ACTIVE,Fresh Baked Cookies,CATEAE006A6,CAT83F3F000,NULL,NULL
ACTIVE,Fresh Bakery Breads,CATBE501A47,CAT83F3F000,NULL,NULL
ACTIVE,Packaged Breads,CAT5CD604EC,CAT83F3F000,NULL,NULL
ACTIVE,Pastry Shells & Crusts,CAT02C36464,CAT83F3F000,NULL,NULL
ACTIVE,Pizza Crusts,CAT4891AC11,CAT83F3F000,NULL,NULL
ACTIVE,Yorkshire Pudding,CATC316B872,CAT83F3F000,NULL,NULL
ACTIVE,Breakfast & Cereal Bars,CATF36D0A1A,CATF50077B0,NULL,NULL
ACTIVE,Breakfast Syrups & Toppings,CAT9246CABD,CATF50077B0,NULL,NULL
ACTIVE,Assortments,CATAC708092,CATF0963984,NULL,NULL
