"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Health & Beauty","CATB87FD6FB",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1589989293939",NULL
"ACTIVE","Beauty & Personal Care","CAT55EA6D19","CATB87FD6FB","https://rekognition-vision-images.s3.amazonaws.com/1589989293949",NULL
"ACTIVE","Health Care","CATA10E53D9","CATB87FD6FB","https://rekognition-vision-images.s3.amazonaws.com/1589989294018",NULL
"ACTIVE","Medical Supplies & Equipment","CAT74AFB98C","CATB87FD6FB","https://rekognition-vision-images.s3.amazonaws.com/1589989294022",NULL
"ACTIVE","Sexual Wellness","CATBA1AB565","CATB87FD6FB","https://rekognition-vision-images.s3.amazonaws.com/1589989294009",NULL
"ACTIVE","Vision Care","CAT6BBEDD3E","CATB87FD6FB","https://rekognition-vision-images.s3.amazonaws.com/1589989293997",NULL
"ACTIVE","Fragrance","CATDD4BD38F","CAT55EA6D19",NULL,NULL
"ACTIVE","Hair Care","CAT8E190B75","CAT55EA6D19",NULL,NULL
"ACTIVE","Makeup","CATBF49CD54","CAT55EA6D19",NULL,NULL
"ACTIVE","Oral Care","CATC865B99A","CAT55EA6D19",NULL,NULL
"ACTIVE","Personal Care","CAT06400A2E","CAT55EA6D19",NULL,NULL
"ACTIVE","Tools & Accessories","CATFE94B3C2","CAT55EA6D19",NULL,NULL
"ACTIVE","Alternative Medicine","CAT04E2FAE2","CATA10E53D9",NULL,NULL
"ACTIVE","Diabetes Care","CATB41D3ADC","CATA10E53D9",NULL,NULL
"ACTIVE","Ear Care","CATC1DAA4B8","CATA10E53D9",NULL,NULL
"ACTIVE","Feminine Care","CATC0FD28A5","CATA10E53D9",NULL,NULL
"ACTIVE","First Aid","CAT806FB1A4","CATA10E53D9",NULL,NULL
"ACTIVE","Braces, Splints & Supports","CAT951A079B","CAT74AFB98C",NULL,NULL
"ACTIVE","Health Monitors","CATA4121E7E","CAT74AFB98C",NULL,NULL
"ACTIVE","Home Tests","CAT944E738B","CAT74AFB98C",NULL,NULL
"ACTIVE","Daily Living Aids","CATB3276963","CAT74AFB98C",NULL,NULL
"ACTIVE","Occupational & Physical Therapy Aids","CAT3DFB2CF0","CAT74AFB98C",NULL,NULL
"ACTIVE","Adult Toys & Games","CATB8C1E121","CATBA1AB565",NULL,NULL
"ACTIVE","Bondage Gear & Accessories","CAT3CA0B233","CATBA1AB565",NULL,NULL
"ACTIVE","Fetish Wear","CATF97CBC1D","CATBA1AB565",NULL,NULL
"ACTIVE","Jewelry","CATCA237A1B","CATBA1AB565",NULL,NULL
"ACTIVE","Novelties","CATDF85B742","CATBA1AB565",NULL,NULL
"ACTIVE","Safer Sex","CATBB0E0758","CATBA1AB565",NULL,NULL
"ACTIVE","Sensual Delights","CAT9A4886B6","CATBA1AB565",NULL,NULL
"ACTIVE","Sex Furniture","CAT2C84E9B1","CATBA1AB565",NULL,NULL
"ACTIVE","Sexual Enhancers","CAT9E349213","CATBA1AB565",NULL,NULL
"ACTIVE","Sexual Remedies & Supplements","CAT72EB79F3","CATBA1AB565",NULL,NULL
"ACTIVE","Contact Lens Care","CAT4D32AFD5","CAT6BBEDD3E",NULL,NULL
"ACTIVE","Eye Drops, Lubricants & Washes","CAT3E4C8B49","CAT6BBEDD3E",NULL,NULL
"ACTIVE","Eyeglass Chains","CAT11DBBA48","CAT6BBEDD3E",NULL,NULL
"ACTIVE","Eyeglasses Care","CAT7C7F0062","CAT6BBEDD3E",NULL,NULL
"ACTIVE","Prescription Contact Lenses","CATEC4AE175","CAT6BBEDD3E",NULL,NULL
"ACTIVE","Vitamins & Dietary Supplements","CAT263D3EA8","CATDCD331D9","https://rekognition-vision-images.s3.amazonaws.com/1589989293993",NULL
"ACTIVE","Herbal Supplements","CAT9F6C4E92","CAT263D3EA8",NULL,NULL
"ACTIVE","Minerals","CAT5E42F03A","CAT263D3EA8",NULL,NULL
"ACTIVE","Multi & Prenatal Vitamins","CAT8ACB02D8","CAT263D3EA8",NULL,NULL
"ACTIVE","Supplements","CAT40947D25","CAT263D3EA8",NULL,NULL
"ACTIVE","Vitamins","CAT0C14CC60","CAT263D3EA8",NULL,NULL
"ACTIVE","Weight Loss","CATCE504C01","CAT263D3EA8",NULL,NULL
"ACTIVE","Wellness & Relaxation","CAT3AFACBCD","CAT263D3EA8",NULL,NULL
"ACTIVE","Dermocosmetics","CAT0A11B76F","CAT263D3EA8",NULL,NULL
"ACTIVE","Aromatherapy","CAT710DFAFC","CATDD4BD38F",NULL,NULL
"ACTIVE","Children's","CAT461A3DF6","CATDD4BD38F",NULL,NULL
"ACTIVE","Dusting Powders","CAT45F6E823","CATDD4BD38F",NULL,NULL
"ACTIVE","Men's","CATB4FEE9FF","CATDD4BD38F",NULL,NULL
"ACTIVE","Solid Perfumes","CATD93CEBF0","CATDD4BD38F",NULL,NULL
"ACTIVE","Women's","CAT0DD00A4B","CATDD4BD38F",NULL,NULL
"ACTIVE","Unisex","CAT8FB2EE46","CATDD4BD38F",NULL,NULL
"ACTIVE","Extensions, Wigs & Accessories","CAT0971E247","CAT8E190B75",NULL,NULL
"ACTIVE","Hair & Scalp Care","CAT3D817B9D","CAT8E190B75",NULL,NULL
"ACTIVE","Hair Perms, Relaxers & Texturizers","CATAD3A88FD","CAT8E190B75",NULL,NULL
"ACTIVE","Hair Accessories","CATC3ECDB7C","CAT8E190B75",NULL,NULL
"ACTIVE","Hair Coloring Products","CATDBB253BE","CAT8E190B75",NULL,NULL
"ACTIVE","Hair Cutting Tools","CATE0FB10E3","CAT8E190B75",NULL,NULL
"ACTIVE","Styling Products","CATF6AF13BA","CAT8E190B75",NULL,NULL
"ACTIVE","Styling Tools & Appliances","CAT567B84D5","CAT8E190B75",NULL,NULL
"ACTIVE","Body","CATD4A8C0A4","CATBF49CD54",NULL,NULL
"ACTIVE","Eyes","CAT5D1BB18A","CATBF49CD54",NULL,NULL
"ACTIVE","Face","CAT9E7AF508","CATBF49CD54",NULL,NULL
"ACTIVE","Lips","CATA97B9A4F","CATBF49CD54",NULL,NULL
"ACTIVE","Makeup Palettes","CAT268C9203","CATBF49CD54",NULL,NULL
"ACTIVE","Makeup Remover","CATCCC9E805","CATBF49CD54",NULL,NULL
"ACTIVE","Makeup Sets","CAT2FB32E4C","CATBF49CD54",NULL,NULL
"ACTIVE","Nails","CAT9FE21B63","CATBF49CD54",NULL,NULL
"ACTIVE","Breath Fresheners","CATABA77526","CATC865B99A",NULL,NULL
"ACTIVE","Children's Dental Care","CAT67359AEE","CATC865B99A",NULL,NULL
"ACTIVE","Dental Care","CAT11266038","CATC865B99A",NULL,NULL
"ACTIVE","Dental Floss & Picks","CATEB213723","CATC865B99A",NULL,NULL
"ACTIVE","Denture Care","CAT50F2EA95","CATC865B99A",NULL,NULL
"ACTIVE","Dry Mouth Relief","CAT25E775D7","CATC865B99A",NULL,NULL
"ACTIVE","Infant Dental Care","CAT053FD282","CATC865B99A",NULL,NULL
"ACTIVE","Pain Relief & Orthodontics","CAT48FE91DB","CATC865B99A",NULL,NULL
"ACTIVE","Bath & Bathing Accessories","CAT3255D308","CAT06400A2E",NULL,NULL
"ACTIVE","Lip Care","CAT0F025024","CAT06400A2E",NULL,NULL
"ACTIVE","Piercing & Tattoo Supplies","CATC0405F58","CAT06400A2E",NULL,NULL
"ACTIVE","Shave & Hair Removal","CAT360C090B","CAT06400A2E",NULL,NULL
"ACTIVE","Skin Care","CAT6FD9EB0F","CAT06400A2E",NULL,NULL
"ACTIVE","Bags & Cases","CATA7AAF255","CATFE94B3C2",NULL,NULL
"ACTIVE","Cotton Balls & Swabs","CAT1BE77336","CATFE94B3C2",NULL,NULL
"ACTIVE","Feet, Hand & Nail Tools","CATB841FBFB","CATFE94B3C2",NULL,NULL
"ACTIVE","Makeup Brushes & Tools","CATCCD92BB2","CATFE94B3C2",NULL,NULL
"ACTIVE","Mirrors & Magnifiers","CAT7C1F3DDD","CATFE94B3C2",NULL,NULL
"ACTIVE","Salon & Spa Equipment","CAT80BBC0C7","CATFE94B3C2",NULL,NULL
"ACTIVE","Skin Care Tools","CAT4C7FA4A3","CATFE94B3C2",NULL,NULL
"ACTIVE","Acupuncture","CAT2EE9F23C","CAT04E2FAE2",NULL,NULL
"ACTIVE","Ayurveda","CATA8B3AD3A","CAT04E2FAE2",NULL,NULL
"ACTIVE","Flower Essences","CAT7560BCCC","CAT04E2FAE2",NULL,NULL
"ACTIVE","Light Therapy","CATC0D416FD","CAT04E2FAE2",NULL,NULL
"ACTIVE","Magnetic Field Therapy","CATEF89F5DF","CAT04E2FAE2",NULL,NULL
"ACTIVE","Oxygen Therapy","CATCF52857D","CAT04E2FAE2",NULL,NULL
"ACTIVE","Single Homeopathic Remedies","CAT45639425","CAT04E2FAE2",NULL,NULL
"ACTIVE","Sound Therapy","CAT060C4BB6","CAT04E2FAE2",NULL,NULL
"ACTIVE","Blood Glucose Monitors","CATEE9CDEC1","CATB41D3ADC",NULL,NULL
"ACTIVE","Insulin Injectors","CAT5843F0D1","CATB41D3ADC",NULL,NULL
"ACTIVE","Lancets","CATA0ACDC56","CATB41D3ADC",NULL,NULL
"ACTIVE","Organizers & Travel Kits","CAT82F8A163","CATB41D3ADC",NULL,NULL
"ACTIVE","Sharps Containers","CAT69198B71","CATB41D3ADC",NULL,NULL
"ACTIVE","Socks & Insoles","CATE8407123","CATB41D3ADC",NULL,NULL
"ACTIVE","Test Strips","CATA2B59AF6","CATB41D3ADC",NULL,NULL
"ACTIVE","Ear Drops","CATF49995EB","CATC1DAA4B8",NULL,NULL
"ACTIVE","Ear Syringes","CAT1E7AEB96","CATC1DAA4B8",NULL,NULL
