"status","categoryName","categoryId","parentId","image","Alias"
"ACTIVE","Sports & Fitness","CAT2EB9AB8F",NULL,"https://rekognition-vision-images.s3.amazonaws.com/1592319948357",NULL
"ACTIVE","Sports","CATF6CB1BDD","CAT2EB9AB8F","https://rekognition-vision-images.s3.amazonaws.com/1592319948371",NULL
"ACTIVE","Fitness","CAT371656F3","CAT2EB9AB8F","https://rekognition-vision-images.s3.amazonaws.com/1592319948501",NULL
"ACTIVE","Outdoor & Adventure","CAT01148AAA","CATF6CB1BDD",NULL,NULL
"ACTIVE","Outdoor Recreation","CATD59B82A3","CATF6CB1BDD",NULL,NULL
"ACTIVE","Racquet Sports","CAT19ABB0CF","CATF6CB1BDD",NULL,NULL
"ACTIVE","Dumbbells, Bars & Weights","CATB88CA295","CAT371656F3",NULL,NULL
"ACTIVE","Exercise Balls & Mats","CAT1910146B","CAT371656F3",NULL,NULL
"ACTIVE","Fitness Accessories","CAT9E3BA93D","CAT371656F3",NULL,NULL
"ACTIVE","Fitness Equipment","CAT82D1E977","CAT371656F3",NULL,NULL
"ACTIVE","Sports Nutrition","CAT27E6392D","CAT371656F3",NULL,NULL
"ACTIVE","Workout DVDs","CAT9A96BE46","CAT371656F3",NULL,NULL
"ACTIVE","Cycling","CAT2427EA00","CAT01148AAA",NULL,NULL
"ACTIVE","Motorsport","CATA24A238C","CAT01148AAA",NULL,NULL
"ACTIVE","Running","CATC9F51234","CAT01148AAA",NULL,NULL
"ACTIVE","Accessories","CAT4910C41D","CATD59B82A3",NULL,NULL
"ACTIVE","Camping & Hiking","CATF7A4EF30","CATD59B82A3",NULL,NULL
"ACTIVE","Climbing","CAT544AA9E1","CATD59B82A3",NULL,NULL
"ACTIVE","Outdoor Recreation","CATF7D5E837","CATD2F22FF9",NULL,NULL
"ACTIVE","Cycling","CAT11832AA2","CATF7D5E837",NULL,"outdoor recreation_cycling"
"ACTIVE","Water Sports","CAT95689351","CATD59B82A3",NULL,NULL
"ACTIVE","Skates, Skateboards & Scooters","CAT334A2F25","CATD59B82A3",NULL,NULL
"ACTIVE","Badminton","CATFA7E4DF3","CAT19ABB0CF",NULL,NULL
"ACTIVE","Squash","CATA7BFE479","CAT19ABB0CF",NULL,NULL
"ACTIVE","Helmet","CAT0CFFA3B4","CATA24A238C",NULL,NULL
"ACTIVE","Band","CATCD443696","CATC9F51234",NULL,NULL
"ACTIVE","Bottle","CATBE1211C1","CATC9F51234",NULL,NULL
"ACTIVE","Watches","CATFE716DB0","CATC9F51234",NULL,NULL
"ACTIVE","Accessory & Keychain Carabiners","CAT690780A7","CAT4910C41D",NULL,NULL
"ACTIVE","Car Racks & Carriers","CAT37C9AB72","CAT4910C41D",NULL,NULL
"ACTIVE","Electronics","CAT514DBC2A","CAT4910C41D",NULL,NULL
"ACTIVE","Gear Repair Equipment","CAT57AE5ABC","CAT4910C41D",NULL,NULL
"ACTIVE","Inflation Devices & Accessories","CATC7EE4935","CAT4910C41D",NULL,NULL
"ACTIVE","Paracord","CATDE077D38","CAT4910C41D",NULL,NULL
"ACTIVE","Reflective Gear","CATC9BFE2A1","CAT4910C41D",NULL,NULL
"ACTIVE","Sports Medicine >","CAT49039660","CAT4910C41D",NULL,NULL
"ACTIVE","Sports Water Bottle Accessories","CAT7FDC3DB6","CAT4910C41D",NULL,NULL
"ACTIVE","Sports Water Bottles","CATB54CB905","CAT4910C41D",NULL,NULL
"ACTIVE","Traction Cleats","CAT0CC445FE","CAT4910C41D",NULL,NULL
"ACTIVE","Backpacks & Bags","CAT3C2E592D","CATF7A4EF30",NULL,NULL
